/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:3.2 CYCLES:3104 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:3.4 CYCLES:3320 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.9 CYCLES:2861 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.2 CYCLES:3077 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:3.0 CYCLES:2888 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.9 CYCLES:2861 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:3.0 CYCLES:2951 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.9 CYCLES:2870 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:3.4 CYCLES:3302 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:3.2 CYCLES:3140 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:3.2 CYCLES:3104 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:3.4 CYCLES:3320 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.9 CYCLES:2861 ICOUNT:973 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.4 CYCLES:54 ICOUNT:10 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:9.8 CYCLES:69 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.9 CYCLES:53 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:9.8 CYCLES:69 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:7.7 CYCLES:69 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:13.6 CYCLES:82 ICOUNT:6 IHITRATE: 0 DHITRATE: 0
